# review_id = validation:DTT-1941-05-13-a-i0035#match-0:9bfc07c678aed3ab
# document_id = DTT-1941-05-13-a-i0035#match-0
# split = validation
# action = kept_gold
# context = a u, 12. Mai. ( DNB.) Wie die Telegraphenagentur der Sowjetunion melde t, hat die sowjetrussische Regierung den
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
a	O	O
u	O	O
,	O	O
12	O	O
.	O	O
Mai	O	O
.	O	O
(	O	O
DNB	B-org.ent.pressagency.dnb	B-org.ent.pressagency.dnb
.	O	O
)	O	O
Wie	O	O
die	O	O
Telegraphenagentur	B-org.ent.pressagency.tass	B-org.ent.pressagency.tass
der	I-org.ent.pressagency.tass	I-org.ent.pressagency.tass
Sowjetunion	I-org.ent.pressagency.tass	I-org.ent.pressagency.tass
melde	O	O
t	O	O
,	O	O
hat	O	O
die	O	O
sowjetrussische	O	O
Regierung	O	O
den	O	O

# review_id = validation:DTT-1948-07-14-a-i0026#match-0:53c3a8cf4b0f76cb
# document_id = DTT-1948-07-14-a-i0026#match-0
# split = validation
# action = kept_gold
# context = Warschau zwischen Vertretern der Radiodiffusion Francaise und der Polskie-Radio ein Abkommen getroffen, auf Grund dessen ein
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
Warschau	O	O
zwischen	O	O
Vertretern	O	O
der	O	O
Radiodiffusion	O	O
Francaise	O	O
und	O	O
der	O	O
Polskie	B-org.ent.radiostation.polskie-radio	B-org.ent.radiostation.polskie-radio
-	I-org.ent.radiostation.polskie-radio	I-org.ent.radiostation.polskie-radio
Radio	I-org.ent.radiostation.polskie-radio	I-org.ent.radiostation.polskie-radio
ein	O	O
Abkommen	O	O
getroffen	O	O
,	O	O
auf	O	O
Grund	O	O
dessen	O	O
ein	O	O

# review_id = validation:DTT-1959-05-30-a-i0226#match-0:8330b3b29970f129
# document_id = DTT-1959-05-30-a-i0226#match-0
# split = validation
# action = kept_gold
# context = Die eidgenössischen Geheimräte Die « Schweizerische Politische Korrespondenz » ist dafür bekannt, daß sie im
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
Die	O	O
eidgenössischen	O	O
Geheimräte	O	O
Die	O	O
«	O	O
Schweizerische	B-org.ent.pressagency.spk-smp	B-org.ent.pressagency.spk-smp
Politische	I-org.ent.pressagency.spk-smp	I-org.ent.pressagency.spk-smp
Korrespondenz	I-org.ent.pressagency.spk-smp	I-org.ent.pressagency.spk-smp
»	O	O
ist	O	O
dafür	O	O
bekannt	O	O
,	O	O
daß	O	O
sie	O	O
im	O	O

# review_id = validation:DTT-1971-11-17-a-i0196#match-0:02903d5a778bcf95
# document_id = DTT-1971-11-17-a-i0196#match-0
# split = validation
# action = kept_gold
# context = . Dezember 1971 an folgende Adresse gehen: Polskie Radio, Warschau 1. Box 46, Polen
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
.	O	O
Dezember	O	O
1971	O	O
an	O	O
folgende	O	O
Adresse	O	O
gehen	O	O
:	O	O
Polskie	B-org.ent.radiostation.polskie-radio	B-org.ent.radiostation.polskie-radio
Radio	I-org.ent.radiostation.polskie-radio	I-org.ent.radiostation.polskie-radio
,	O	O
Warschau	O	O
1	O	O
.	O	O
Box	O	O
46	O	O
,	O	O
Polen	O	O

# review_id = validation:DTT-1976-03-16-a-i0129#match-0:5e68d8f7b46ee349
# document_id = DTT-1976-03-16-a-i0129#match-0
# split = validation
# action = kept_gold
# context = , drei Journalisten der beiden westdeutschen Radiosender « Deutschlandfunk » und « Deutsche Welle » zur Berichterstattung über die Leipziger Frühjahrsmesse zuzulassen
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
,	O	O
drei	O	O
Journalisten	O	O
der	O	O
beiden	O	O
westdeutschen	O	O
Radiosender	O	O
«	O	O
Deutschlandfunk	B-org.ent.radiostation.deutschlandfunk	B-org.ent.radiostation.deutschlandfunk
»	O	O
und	O	O
«	O	O
Deutsche	B-org.ent.radiostation.deutsche-welle	B-org.ent.radiostation.deutsche-welle
Welle	I-org.ent.radiostation.deutsche-welle	I-org.ent.radiostation.deutsche-welle
»	O	O
zur	O	O
Berichterstattung	O	O
über	O	O
die	O	O
Leipziger	O	O
Frühjahrsmesse	O	O
zuzulassen	O	O

# review_id = validation:DTT-1977-06-03-a-i0068#match-0:ed4e2bde59667058
# document_id = DTT-1977-06-03-a-i0068#match-0
# split = validation
# action = accepted_empty_gold
# context = ™ Es liegt noch so viri P 5 atSH 3 m < Wlr kau, en zu
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
™	O	O
Es	O	O
liegt	O	O
noch	O	O
so	O	O
viri	O	O
P	O	O
5	O	O
atSH	O	O
3	O	O
m	O	O
<	O	O
Wlr	O	O
kau	O	O
,	O	O
en	O	O
zu	O	O

# review_id = validation:dunioun-1945-10-13-a-i0025#match-0:c00661edb17099e4
# document_id = dunioun-1945-10-13-a-i0025#match-0
# split = validation
# action = kept_gold
# context = durch Kadio Warschau durchkomme kennen. Radio Warschau ass allerdings se'er schwe'er
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
durch	O	O
Kadio	B-org.ent.radiostation.polskie-radio	B-org.ent.radiostation.polskie-radio
Warschau	I-org.ent.radiostation.polskie-radio	I-org.ent.radiostation.polskie-radio
durchkomme	O	O
kennen	O	O
.	O	O
Radio	B-org.ent.radiostation.polskie-radio	B-org.ent.radiostation.polskie-radio
Warschau	I-org.ent.radiostation.polskie-radio	I-org.ent.radiostation.polskie-radio
ass	O	O
allerdings	O	O
se	O	O
'	O	O
er	O	O
schwe	O	O
'	O	O
er	O	O

# review_id = validation:EXP-1926-10-09-a-i0174:95c21fe4004fc321
# document_id = EXP-1926-10-09-a-i0174
# split = validation
# action = kept_gold
# context = conservateur condamne les communistes PARIS, 9 (Havas). — On mande de Londres au c Journal > : Dans sa séance de clôture de vendredi, la conférence du .. parti conservateur J. voté plusieurs résolutions et notamment une proposition réprouvant énergiquement les agissements des communistes en Grande-Bretagne. Les communistes manifestent au Danemark PARIS, 9 (Havas). — Une dépêche de Copenhague au < Journal > signale qu'une manifestation communiste a eu lieu vendredi au Théâtre royal où l'on donnait une réunion de gala en l'honneur de M. Relander, président de l'Etat de Finlande. Le roi et la reine du Danemark y assistaient. Les communistes ont sifflé l'hymne national, conspué le président Relander et lancé des tracts injurieux. Une douzaine de communistes ont été arrêtés. Violent incendie à Moscou BERLIN, 9 (Agence). — Dans un faubourg de Moscou, un incendie a détruit vendredi quatre immeubles. Six personnes ont péri dans les flammes et près de cent individus sont sans abri. On croit que l'incendie est dû à une main criminelle. Les procédés américains AIKEN, 9 (Havas). — A Aiken (Californie du sud), la foule a envahi une prison où se trouvaient trois noirs, une femme et deux hommes qu'elle a fusillés. Ces derniers avaient été condamnés pour crime et allaient être jugés à nouveau. Paquebot contre remorqueur LE HAVRE, 9 (Havàs). — Vendredi soir, vers 11
TOKEN	BEFORE_NERTAG	AFTER_NERTAG
conservateur	O	O
condamne	O	O
les	O	O
communistes	O	O
PARIS	O	O
,	O	O
9	O	O
(	O	O
Havas	B-org.ent.pressagency.havas	B-org.ent.pressagency.havas
)	O	O
.	O	O
—	O	O
On	O	O
mande	O	O
de	O	O
Londres	O	O
au	O	O
c	O	O
Journal	O	O
>	O	O
:	O	O
Dans	O	O
sa	O	O
séance	O	O
de	O	O
clôture	O	O
de	O	O
vendredi	O	O
,	O	O
la	O	O
conférence	O	O
du	O	O
.	O	O
.	O	O
parti	O	O
conservateur	O	O
J	O	O
.	O	O
voté	O	O
plusieurs	O	O
résolutions	O	O
et	O	O
notamment	O	O
une	O	O
proposition	O	O
réprouvant	O	O
énergiquement	O	O
les	O	O
agissements	O	O
des	O	O
communistes	O	O
en	O	O
Grande	O	O
-	O	O
Bretagne	O	O
.	O	O
Les	O	O
communistes	O	O
manifestent	O	O
au	O	O
Danemark	O	O
PARIS	O	O
,	O	O
9	O	O
(	O	O
Havas	B-org.ent.pressagency.havas	B-org.ent.pressagency.havas
)	O	O
.	O	O
—	O	O
Une	O	O
dépêche	O	O
de	O	O
Copenhague	O	O
au	O	O
<	O	O
Journal	O	O
>	O	O
signale	O	O
qu	O	O
'	O	O
une	O	O
manifestation	O	O
communiste	O	O
a	O	O
eu	O	O
lieu	O	O
vendredi	O	O
au	O	O
Théâtre	O	O
royal	O	O
où	O	O
l	O	O
'	O	O
on	O	O
donnait	O	O
une	O	O
réunion	O	O
de	O	O
gala	O	O
en	O	O
l	O	O
'	O	O
honneur	O	O
de	O	O
M	O	O
.	O	O
Relander	O	O
,	O	O
président	O	O
